#Generated on Thu, 26 Feb 2015 16:08:47 CET 
#Registered probes: 12790
#Connected probes: 7672
#No.:ASN:Holder:Count of registered probes:Count of connected probes:Cumulative probability of connected probes
349:7303:Telecom Argentina S.A.,AR:3:3:0.6150
350:3257:TINET-BACKBONE Tinet SpA,DE:3:3:0.6154
351:48592:DORNA-AS Shabakeh Gostar Dorna Cooperative Co.,IR:6:3:0.6157
352:29286:SKYLOGIC-AS SKYLOGIC S.P.A.,IT:5:3:0.6161
353:28717:ZENSYSTEMS-AS Zen Systems A/S,DK:3:3:0.6165
354:15038:CAMBINC-1 - Cambridge Incubator, Inc.,US:4:3:0.6169
355:22561:AS22561 - CenturyTel Internet Holdings, Inc.,US:4:3:0.6173
356:8462:CORYNET1 Tarr Kft.,HU:3:3:0.6177
357:24757:EthioNet-AS,ET:6:3:0.6181
358:8190:MDNX - MDNX Internet Limited,GB:3:3:0.6185
359:25408:WESTCALL-SPB-AS CJSC "WEST CALL LTD",RU:4:3:0.6189
360:25394:MK-NETZDIENSTE-AS AS for MK Netzdienste GmbH & Co. KG,DE:3:3:0.6193
361:237:MERIT-AS-14 - Merit Network Inc.,US:5:3:0.6197
